gamma,num_trajectories,finish_reward,fall_reward,step_reward,epsilon,avg_elapsed_time,std_training_time_per_sample,avg_steps,eval_std_steps,finish_percent
0.95,1000,100,-100,-1,0.005,111.64003995333285,16.561732072743784,60.87777777777777,21.740810461116045,1.0
0.95,5000,100,-100,-1,1,2.67805376066705,0.17429379993994865,68.74444444444443,27.758306508987786,0.9777777777777777
0.9,5000,10,-10,-1,0.1,4.027928849999928,0.43397899299888204,66.87777777777778,25.51375567012943,0.9888888888888889
0.95,10000,100,-100,-10,0.1,29.885051158665494,3.646188278425969,65.65555555555555,29.078499545239076,0.9777777777777777
0.9,5000,100,-10,-1,0.1,9.22324126600021,2.169788592108337,75.39999999999999,31.30842981974308,0.9555555555555556
0.99,5000,10,-100,-10,0.1,37.751238249666734,4.657260045518171,65.57777777777777,25.399902789743017,0.9888888888888889
0.9,10000,10,-1000,0,1,1.020864964333062,0.09402532404032114,137.68888888888887,27.566745039970996,0.18888888888888888
0.99,5000,100,-1000,-1,0.1,10.054466852333766,1.277394863033321,62.677777777777784,23.372741853030316,1.0
0.99,1000,100,-10,-1,0.005,104.15992408799987,4.867900655590088,63.25555555555556,23.56294695354981,1.0
0.99,10000,0,-1000,0,1,0.18527350500031994,0.0019170531622486754,150.0,0.0,0.0
0.95,10000,10,-1000,-10,0.01,150.37278719633227,5.616265149737456,65.63333333333333,25.56058163135834,1.0
0.95,5000,0,-100,-1,1,1.1422794573324306,0.1086093946615565,150.0,0.0,0.0
0.95,1000,100,-1000,-1,0.01,56.235592014001064,10.904721374099937,67.62222222222222,25.604069892533264,0.9777777777777777
0.99,10000,100,-100,-1,1,7.192011902334343,0.5606012375998337,63.48888888888889,20.875421190398608,1.0
0.9,5000,100,-1000,-1,0.1,12.607820643332767,1.4638990945280317,62.75555555555555,20.2848115654771,1.0
0.9,10000,0,-100,0,0.01,0.19083210900013606,0.0008089612154440953,150.0,0.0,0.0
0.9,10000,100,-100,-1,0.01,70.97447267899891,13.213577898829913,67.24444444444444,25.64428076204262,0.9888888888888889
0.99,5000,0,-100,-10,1,7.91521690200049,0.946351080029615,67.31111111111112,24.248090162798594,1.0
0.95,5000,100,-100,-10,0.01,167.47619148300024,13.979479998582393,70.22222222222223,26.559692843679823,1.0
0.99,1000,0,-10,-1,0.1,4.950337474664896,0.7707675870772553,67.61111111111111,25.406777068090598,1.0
0.99,1000,100,-10,0,1,0.8717493486656167,1.1316447763748454,120.3,43.40979152219001,0.3333333333333333
0.99,10000,0,-100,-10,1,11.000984244667052,0.6736413836132555,63.92222222222222,23.869658926845826,0.9888888888888889
0.99,1000,10,-100,-1,0.005,60.24280489333493,4.22778059054902,63.944444444444436,20.226693644846385,1.0
0.99,10000,0,-10,0,0.01,0.18567095333249503,0.0015278019970162066,150.0,0.0,0.0
0.95,5000,0,-1000,-1,1,1.0156991203342234,0.06396611673632498,150.0,0.0,0.0
0.95,1000,0,-100,-10,0.1,10.87104150266532,0.5903464944918099,65.92222222222222,23.48485458889896,1.0
0.9,5000,100,-100,-1,0.01,62.344986117002314,6.025172376905599,68.43333333333334,24.756166459647538,1.0
0.95,5000,100,-1000,0,1,1.0367089316678175,1.2886027143632284,121.10000000000001,42.572304507873554,0.3333333333333333
0.95,10000,10,-100,-10,1,7.263525527000941,0.29898986500091035,68.91111111111111,28.9523149887859,0.9555555555555556
0.95,1000,100,-100,-1,0.01,35.300485910332405,1.6934045104521607,65.88888888888889,23.808235944005432,1.0
0.99,1000,100,-100,0,1,0.7791723249999146,0.995277221192232,132.63333333333333,31.67699831458502,0.26666666666666666
0.99,5000,100,-100,-1,0.005,125.37352974199894,6.843368573573004,64.21111111111111,25.99508263090645,0.9888888888888889
0.95,10000,100,-1000,-1,0.005,184.3939847996662,28.89414420063497,68.23333333333333,27.501939325557874,0.9888888888888889
0.9,10000,100,-1000,-10,0.005,318.5410737776668,26.48014446795546,64.33333333333333,22.646069072676706,1.0
0.95,5000,10,-10,-10,0.01,134.92137376166647,16.454135889399133,63.98888888888888,23.740492573961497,1.0
